,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Citizenship,Family Position,Attendance,Field of Study,Special Needs
53,1,1,3,9130.0,1.0,1.0,167.0,1,37,37,90.0,90.0,159.3,0,0,0,1,0,0,19,0.0,0,5.0,7,5.0,14.714285714285714,0.0,0.0,5.0,5.0,5,15.8,0,7.6,2.6,0.32,Graduate,Lisbon,First Child,Part-Time,Arts,Special Needs
54,1,39,1,9991.0,0.0,1.0,130.0,1,38,38,9.0,9.0,120.0,0,0,0,1,0,0,27,0.0,0,5.0,12,5.0,10.6,0.0,0.0,5.0,10.0,5,11.0,0,9.4,-0.8,-3.12,Dropout,Oslo,Youngest Child,Online,Commerce,Special Needs
55,1,1,1,9500.0,1.0,1.0,,1,1,19,5.0,5.0,129.1,1,0,0,1,0,0,18,0.0,0,7.0,9,7.0,13.044444444444444,,0.0,8.0,10.0,8,13.595,0,15.5,2.8,-4.06,Graduate,Amsterdam,,Full-Time,Commerce,
56,2,7,1,9254.0,1.0,3.0,,1,1,3,4.0,3.0,130.0,0,0,0,1,0,0,39,0.0,0,6.0,10,0.0,0.0,,0.0,6.0,6.0,0,0.0,0,12.4,0.5,1.79,Dropout,Athens,,Evening Classes,Medicine,
57,1,39,1,,1.0,40.0,,1,3,3,2.0,2.0,155.3,1,0,0,1,0,0,27,0.0,0,,9,5.0,,,,11.0,13.0,10,12.9,0,12.4,0.5,1.79,Dropout,Athens,,Part-Time,Arts,
58,1,17,1,9500.0,1.0,1.0,,1,38,38,7.0,10.0,139.8,1,0,0,1,0,0,18,0.0,0,8.0,8,8.0,14.935,,0.0,8.0,8.0,8,14.935,0,9.4,-0.8,-3.12,Graduate,Athens,,Part-Time,Science,
59,1,1,3,,1.0,1.0,125.0,1,38,37,4.0,9.0,115.2,1,0,0,1,0,0,18,0.0,0,,0,0.0,,0.0,,0.0,0.0,0,0.0,0,7.6,2.6,0.32,Enrolled,Prague,Middle Child,Online,Commerce,Special Needs
60,1,1,2,9500.0,1.0,1.0,125.0,1,19,19,9.0,9.0,114.9,0,0,0,1,0,0,18,0.0,0,7.0,8,6.0,13.133333333333333,0.0,0.0,8.0,12.0,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,Madrid,First Child,Online,Medicine,No Special Needs
61,1,44,1,9238.0,1.0,39.0,,1,19,1,9.0,9.0,131.9,0,0,0,1,0,1,21,0.0,3,6.0,7,6.0,12.0,,2.0,6.0,7.0,6,12.0,0,13.9,-0.3,0.79,Graduate,Saint Petersburg,,Part-Time,Medicine,
62,1,17,3,171.0,1.0,1.0,,1,1,37,4.0,7.0,126.0,1,0,0,1,1,1,19,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Enrolled,Madrid,,Online,Arts,
63,1,17,1,9070.0,1.0,1.0,127.0,1,1,1,3.0,4.0,130.2,1,0,0,1,1,0,19,0.0,0,6.0,6,5.0,11.4,0.0,0.0,6.0,8.0,1,10.0,0,10.8,1.4,1.74,Enrolled,Oslo,Middle Child,Online,Engineering,Special Needs
64,1,43,1,9070.0,1.0,1.0,,1,1,1,3.0,3.0,120.9,0,0,0,1,1,0,24,0.0,0,6.0,6,0.0,0.0,,0.0,6.0,6.0,0,0.0,0,12.7,3.7,-1.7,Enrolled,Istanbul,,Full-Time,Arts,
65,4,42,1,9500.0,1.0,19.0,133.1,1,1,1,5.0,5.0,126.0,1,0,0,1,1,0,29,0.0,2,7.0,10,5.0,11.9,0.0,1.0,8.0,10.0,5,11.0,0,13.9,-0.3,0.79,Dropout,Copenhagen,Middle Child,Full-Time,Engineering,No Special Needs
66,1,1,3,171.0,1.0,1.0,,1,19,19,5.0,3.0,128.2,1,0,0,1,1,1,19,0.0,0,0.0,0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0,10.8,1.4,1.74,Graduate,Kyiv,,Online,Science,
67,1,44,1,9003.0,1.0,39.0,,1,19,37,9.0,9.0,130.0,1,0,0,1,1,0,23,0.0,0,6.0,8,6.0,12.571428571428571,,0.0,6.0,7.0,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,Vienna,,Part-Time,Medicine,
68,1,1,3,9147.0,1.0,1.0,125.0,1,1,38,7.0,7.0,120.1,0,0,1,1,1,0,19,0.0,0,5.0,8,5.0,11.2,0.0,0.0,5.0,10.0,4,10.75,3,16.2,0.3,-0.92,Dropout,Milan,First Child,Part-Time,Medicine,Special Needs
69,1,39,1,9254.0,1.0,1.0,160.0,1,19,37,7.0,10.0,100.0,0,0,0,1,1,0,26,0.0,0,6.0,7,6.0,12.0,0.0,0.0,6.0,8.0,5,10.8,0,12.7,3.7,-1.7,Enrolled,Istanbul,Youngest Child,Full-Time,Science,Special Needs
70,1,17,1,9147.0,,1.0,148.0,1,38,37,5.0,,134.0,0,0,0,1,1,0,18,,0,5.0,9,0.0,0.0,0.0,0.0,,,0,,0,7.6,,0.32,Enrolled,,Youngest Child,Part-Time,Arts,No Special Needs
71,1,17,1,9500.0,1.0,1.0,,1,37,19,8.0,4.0,130.8,0,0,0,1,1,0,24,0.0,0,7.0,8,7.0,11.975,,0.0,8.0,8.0,8,13.75,0,13.9,-0.3,0.79,Graduate,Budapest,,Evening Classes,Medicine,
72,1,1,1,171.0,1.0,1.0,141.0,1,19,19,5.0,10.0,135.8,1,0,0,1,1,0,19,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,15.5,2.8,-4.06,Dropout,Lisbon,First Child,Part-Time,Engineering,Special Needs
73,1,17,4,9254.0,1.0,1.0,,1,38,37,5.0,7.0,111.7,1,0,0,1,1,0,18,0.0,0,6.0,12,3.0,11.666666666666666,,0.0,6.0,12.0,1,12.0,0,12.4,0.5,1.79,Dropout,Saint Petersburg,,Online,Engineering,
74,1,1,2,9773.0,1.0,1.0,,1,38,38,9.0,9.0,132.9,1,0,0,1,1,0,18,0.0,0,6.0,8,6.0,12.333333333333334,,0.0,6.0,11.0,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,Kyiv,,Full-Time,Commerce,
75,1,17,3,9147.0,1.0,1.0,,1,19,19,4.0,7.0,115.5,1,0,1,1,1,0,18,0.0,0,5.0,8,3.0,10.333333333333334,,0.0,5.0,11.0,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,Oslo,,Full-Time,Medicine,
76,1,18,4,9254.0,1.0,1.0,106.0,1,19,37,7.0,7.0,106.0,1,0,0,1,1,1,21,0.0,0,6.0,8,4.0,10.5,0.0,0.0,6.0,11.0,1,11.0,0,9.4,-0.8,-3.12,Dropout,Sofia,Youngest Child,Evening Classes,Medicine,No Special Needs
77,1,17,4,9773.0,1.0,1.0,121.0,1,1,19,9.0,8.0,120.3,1,0,1,1,1,1,19,0.0,0,6.0,6,6.0,13.666666666666666,0.0,0.0,6.0,6.0,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Kyiv,Youngest Child,Part-Time,Engineering,No Special Needs
78,1,17,4,9500.0,1.0,1.0,150.0,1,38,37,9.0,9.0,130.8,0,0,0,1,1,1,22,0.0,0,7.0,7,7.0,14.842857142857142,0.0,0.0,8.0,9.0,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,,First Child,Evening Classes,Arts,Special Needs
79,2,39,1,8014.0,0.0,1.0,120.0,1,37,37,9.0,6.0,117.0,0,0,0,1,1,0,33,0.0,0,6.0,8,6.0,12.0,0.0,0.0,6.0,6.0,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,Sofia,Middle Child,Part-Time,Science,Special Needs
80,1,1,6,9853.0,1.0,1.0,114.0,1,19,19,9.0,9.0,110.2,1,0,0,1,1,0,20,0.0,0,6.0,8,5.0,12.2,0.0,0.0,6.0,7.0,5,12.2,0,10.8,1.4,1.74,Dropout,Bucharest,Middle Child,Full-Time,Engineering,Special Needs
81,1,39,1,9991.0,0.0,2.0,140.0,1,3,3,2.0,2.0,155.7,1,0,0,1,1,0,35,0.0,0,1.0,1,0.0,0.0,1.0,0.0,5.0,0.0,0,0.0,0,10.8,1.4,1.74,Dropout,Lisbon,Youngest Child,Evening Classes,Science,Special Needs
82,1,39,1,9003.0,1.0,4.0,,1,3,3,4.0,2.0,180.4,0,0,1,1,1,0,24,0.0,6,12.0,17,6.0,12.166666666666666,,7.0,12.0,14.0,10,13.3,0,12.4,0.5,1.79,Dropout,,,Online,Engineering,
83,1,17,1,9254.0,1.0,1.0,,1,19,19,4.0,4.0,125.5,0,0,0,1,1,0,18,0.0,0,5.0,6,5.0,12.0,,0.0,5.0,8.0,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,Brussels,,Evening Classes,Arts,
84,2,39,1,8014.0,0.0,1.0,,1,37,37,9.0,6.0,110.0,1,0,0,1,0,0,33,0.0,0,6.0,7,6.0,11.0,,0.0,6.0,11.0,5,11.0,0,9.4,-0.8,-3.12,Graduate,London,,Online,Science,
85,1,42,1,9500.0,1.0,1.0,160.0,1,37,38,9.0,7.0,161.0,1,0,0,1,0,1,22,0.0,0,8.0,8,7.0,13.08,0.0,0.0,8.0,8.0,7,13.08,0,10.8,1.4,1.74,Graduate,Munich,First Child,Part-Time,Arts,Special Needs
86,1,39,1,9670.0,1.0,1.0,,1,1,19,4.0,5.0,100.0,0,0,0,1,0,1,25,0.0,0,5.0,7,4.0,10.5,,0.0,5.0,7.0,5,11.6,0,9.4,-0.8,-3.12,Graduate,Copenhagen,,Full-Time,Arts,
87,1,17,1,9070.0,1.0,1.0,124.0,1,19,38,4.0,0.0,117.6,1,0,0,1,1,0,20,0.0,0,6.0,9,6.0,10.666666666666666,1.0,0.0,6.0,6.0,5,11.2,0,7.6,2.6,0.32,Graduate,Helsinki,Middle Child,Online,Commerce,Special Needs
88,1,1,6,9147.0,1.0,1.0,,1,38,37,9.0,9.0,128.7,1,0,0,1,1,0,23,0.0,0,5.0,6,4.0,14.0,,0.0,5.0,5.0,5,13.8,0,11.1,0.6,2.02,Enrolled,Vienna,,Online,Medicine,
89,1,43,2,9119.0,1.0,1.0,,1,38,19,9.0,6.0,112.2,1,0,1,1,1,0,18,0.0,0,5.0,9,2.0,10.0,,0.0,5.0,9.0,0,0.0,0,15.5,2.8,-4.06,Enrolled,Saint Petersburg,,Part-Time,Engineering,
90,1,39,1,9500.0,1.0,1.0,,1,1,1,4.0,10.0,100.8,0,0,0,1,1,0,24,0.0,0,7.0,18,0.0,0.0,,0.0,7.0,7.0,0,0.0,0,13.9,-0.3,0.79,Dropout,London,,Online,Commerce,
91,1,17,2,,1.0,1.0,133.1,41,19,1,9.0,9.0,105.0,1,0,0,0,0,0,21,1.0,0,,6,6.0,,0.0,,6.0,6.0,6,13.5,0,8.9,1.4,3.51,Graduate,Vienna,First Child,Online,Engineering,No Special Needs
92,1,15,1,9130.0,1.0,1.0,133.1,41,1,1,4.0,4.0,100.0,0,0,0,1,0,0,26,1.0,0,6.0,7,2.0,12.0,1.0,0.0,6.0,6.0,0,0.0,0,8.9,1.4,3.51,Dropout,Stockholm,Middle Child,Online,Science,Special Needs
93,2,39,1,9853.0,1.0,10.0,133.1,1,37,34,0.0,0.0,115.5,0,0,0,1,0,0,39,0.0,0,6.0,12,3.0,12.666666666666666,0.0,0.0,6.0,14.0,0,0.0,1,7.6,2.6,0.32,Dropout,Warsaw,Middle Child,Online,Science,Special Needs
94,2,39,1,8014.0,0.0,1.0,133.1,1,37,19,9.0,9.0,114.0,0,0,0,1,0,0,44,0.0,2,8.0,11,8.0,11.875,0.0,0.0,6.0,7.0,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate,Helsinki,Youngest Child,Evening Classes,Medicine,Special Needs
